;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/21;2021;6;Outro;All;68;119;0;187;689;441;1;1131;NA;NA;NA;NA
2;REGIONAL;15/02/21;2021;7;Outro;All;146;106;1;253;835;547;2;1384;NA;NA;NA;NA
3;REGIONAL;22/02/21;2021;8;Outro;All;73;19;0;92;908;566;2;1476;NA;NA;NA;NA
4;REGIONAL;01/03/21;2021;9;Outro;All;55;40;0;95;963;606;2;1571;NA;NA;NA;NA
5;REGIONAL;08/03/21;2021;10;Outro;All;277;13;0;290;1240;619;2;1861;NA;NA;NA;NA
6;REGIONAL;15/03/21;2021;11;Outro;All;19;27;0;46;1259;646;2;1907;NA;NA;NA;NA
7;REGIONAL;22/03/21;2021;12;Outro;All;312;4;0;316;1571;650;2;2223;NA;NA;NA;NA
8;REGIONAL;29/03/21;2021;13;Outro;All;317;11;0;328;1888;661;2;2551;NA;NA;NA;NA
9;REGIONAL;05/04/21;2021;14;Outro;All;55;16;0;71;1943;677;2;2622;NA;NA;NA;NA
10;REGIONAL;12/04/21;2021;15;Outro;All;244;8;0;252;2187;685;2;2874;NA;NA;NA;NA
11;REGIONAL;19/04/21;2021;16;Outro;All;87;24;0;111;2274;709;2;2985;NA;NA;NA;NA
12;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3332;8774;1;12107;27547;17358;1;44906;0,059026334;0,037193855;NA;NA
13;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4038;2806;1;6845;31585;20164;2;51751;0,067678759;0,043206411;NA;NA
14;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12006;1646;0;13652;43591;21810;2;65403;0,093404615;0,046733378;NA;NA
15;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10411;2827;0;13238;54002;24637;2;78641;0,115712786;0,052790932;NA;NA
16;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5789;1671;0;7460;59791;26308;2;86101;0,128117166;0,056371467;NA;NA
17;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3677;7719;0;11396;63468;34027;2;97497;0,135996057;0,072911354;NA;NA
18;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11854;2096;0;13950;75322;36123;2;111447;0,161396216;0,077402558;NA;NA
19;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6101;6260;0;12361;81423;42383;2;123808;0,174469134;0,090816173;NA;NA
20;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;13976;4284;0;18260;95399;46667;2;142068;0,204416208;0,099995714;NA;NA
21;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21777;2950;0;24727;117176;49617;2;166795;0,251078875;0,106316827;NA;NA
22;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11213;5933;2;17148;128389;55550;4;183943;0,27510553;0,119029763;NA;NA
23;REGIONAL;08/02/21;2021;6;ARS Algarve;All;2362;2896;1;5259;12718;6304;1;19023;0,029009639;0,014379365;NA;NA
24;REGIONAL;15/02/21;2021;7;ARS Algarve;All;3168;2111;0;5279;15886;8415;1;24302;0,036235818;0,019194537;NA;NA
25;REGIONAL;22/02/21;2021;8;ARS Algarve;All;8438;1065;0;9503;24324;9480;1;33805;0,055482817;0,021623792;NA;NA
26;REGIONAL;01/03/21;2021;9;ARS Algarve;All;4599;549;0;5148;28923;10029;1;38953;0,065973093;0,022876056;NA;NA
27;REGIONAL;08/03/21;2021;10;ARS Algarve;All;5048;1535;0;6583;33971;11564;1;45536;0,077487534;0,026377376;NA;NA
28;REGIONAL;15/03/21;2021;11;ARS Algarve;All;2640;2992;0;5632;36611;14556;1;51168;0,08350935;0,0332021;NA;NA
29;REGIONAL;22/03/21;2021;12;ARS Algarve;All;9349;4279;0;13628;45960;18835;1;64796;0,104834332;0,042962459;NA;NA
30;REGIONAL;29/03/21;2021;13;ARS Algarve;All;4134;2903;0;7037;50094;21738;1;71833;0,114263947;0,049584175;NA;NA
31;REGIONAL;05/04/21;2021;14;ARS Algarve;All;8562;1760;0;10322;58656;23498;1;82155;0,133793789;0,053598719;NA;NA
32;REGIONAL;12/04/21;2021;15;ARS Algarve;All;13539;2137;0;15676;72195;25635;1;97831;0,164676122;0,058473196;NA;NA
33;REGIONAL;19/04/21;2021;16;ARS Algarve;All;7119;5474;0;12593;79314;31109;1;110424;0,180914495;0,070959339;NA;NA
34;REGIONAL;08/02/21;2021;6;ARS Centro;All;7468;27091;4;34563;79854;51009;8;130871;0,049110973;0,031371022;NA;NA
35;REGIONAL;15/02/21;2021;7;ARS Centro;All;25381;9919;3;35303;105235;60928;11;166174;0,06472053;0,037471302;NA;NA
36;REGIONAL;22/02/21;2021;8;ARS Centro;All;38217;3071;1;41289;143452;63999;12;207463;0,088224351;0,039359996;NA;NA
37;REGIONAL;01/03/21;2021;9;ARS Centro;All;28309;5878;1;34188;171761;69877;13;241651;0,105634656;0,042975023;NA;NA
38;REGIONAL;08/03/21;2021;10;ARS Centro;All;17434;13457;0;30891;189195;83334;13;272542;0,116356733;0,051251206;NA;NA
39;REGIONAL;15/03/21;2021;11;ARS Centro;All;16451;24077;2;40530;205646;107411;15;313072;0,126474255;0,066058791;NA;NA
40;REGIONAL;22/03/21;2021;12;ARS Centro;All;47520;4241;0;51761;253166;111652;15;364833;0,155699509;0,068667047;NA;NA
41;REGIONAL;29/03/21;2021;13;ARS Centro;All;24111;16614;3;40728;277277;128266;18;405561;0,170528004;0,078884815;NA;NA
42;REGIONAL;05/04/21;2021;14;ARS Centro;All;49540;10077;0;59617;326817;138343;18;465178;0,200995577;0,085082267;NA;NA
43;REGIONAL;12/04/21;2021;15;ARS Centro;All;77263;11885;1;89149;404080;150228;19;554327;0,248513061;0,092391655;NA;NA
44;REGIONAL;19/04/21;2021;16;ARS Centro;All;29690;24040;6;53736;433770;174268;25;608063;0,266772694;0,107176485;NA;NA
45;REGIONAL;08/02/21;2021;6;ARS Lisboa e Vale do Tejo;All;14254;30275;1;44530;114674;60716;2;175392;0,031056479;0,016443354;NA;NA
46;REGIONAL;15/02/21;2021;7;ARS Lisboa e Vale do Tejo;All;32670;18975;2;51647;147344;79691;4;227039;0,039904302;0,021582241;NA;NA
47;REGIONAL;22/02/21;2021;8;ARS Lisboa e Vale do Tejo;All;48897;6624;0;55521;196241;86315;4;282560;0,053146786;0,02337618;NA;NA
48;REGIONAL;01/03/21;2021;9;ARS Lisboa e Vale do Tejo;All;44622;12686;1;57309;240863;99001;5;339869;0,065231498;0,026811854;NA;NA
49;REGIONAL;08/03/21;2021;10;ARS Lisboa e Vale do Tejo;All;32809;16443;2;49254;273672;115444;7;389123;0,074116965;0,031265014;NA;NA
50;REGIONAL;15/03/21;2021;11;ARS Lisboa e Vale do Tejo;All;25437;28837;2;54276;299109;144281;9;443399;0,081005916;0,039074767;NA;NA
51;REGIONAL;22/03/21;2021;12;ARS Lisboa e Vale do Tejo;All;88188;7405;1;95594;387297;151686;10;538993;0,104889349;0,04108022;NA;NA
52;REGIONAL;29/03/21;2021;13;ARS Lisboa e Vale do Tejo;All;44876;23625;5;68506;432173;175311;15;607499;0,11704285;0,047478438;NA;NA
53;REGIONAL;05/04/21;2021;14;ARS Lisboa e Vale do Tejo;All;86380;19309;1;105690;518553;194620;16;713189;0,140436633;0,05270778;NA;NA
54;REGIONAL;12/04/21;2021;15;ARS Lisboa e Vale do Tejo;All;162214;13968;0;176182;680767;208588;16;889371;0,184368089;0,056490651;NA;NA
55;REGIONAL;19/04/21;2021;16;ARS Lisboa e Vale do Tejo;All;77959;53174;3;131136;758726;261762;19;1020507;0,205481262;0,07089145;NA;NA
56;REGIONAL;08/02/21;2021;6;ARS Norte;All;8635;28579;6;37220;105200;68820;7;174027;0,029423792;0,01924853;NA;NA
57;REGIONAL;15/02/21;2021;7;ARS Norte;All;32759;15006;3;47768;137959;83826;10;221795;0,038586282;0,023445615;NA;NA
58;REGIONAL;22/02/21;2021;8;ARS Norte;All;64450;4214;1;68665;202409;88040;11;290460;0,05661255;0,024624245;NA;NA
59;REGIONAL;01/03/21;2021;9;ARS Norte;All;47622;6899;0;54521;250031;94939;11;344981;0,069932129;0,026553853;NA;NA
60;REGIONAL;08/03/21;2021;10;ARS Norte;All;25092;13831;0;38923;275123;108770;11;383904;0,076950207;0,030422299;NA;NA
